id,date,value
31,2023-04-23,5027
32,2023-04-24,14817
33,2023-04-25,16383
34,2023-04-26,14284
35,2023-04-27,13791
36,2023-04-28,14812
37,2023-04-29,13614
38,2023-04-30,5774
39,2023-05-01,15741
40,2023-05-02,20197
41,2023-05-03,20146
42,2023-05-04,18752
43,2023-05-05,11801
44,2023-05-06,14742
45,2023-05-07,8164
46,2023-05-08,21681
47,2023-05-09,23521
48,2023-05-10,20574
49,2023-05-11,19989
50,2023-05-12,19352
51,2023-05-13,17403
52,2023-05-14,7178
53,2023-05-15,23680
54,2023-05-16,26147
55,2023-05-17,21797
56,2023-05-18,19586
57,2023-05-19,18106
58,2023-05-20,16808
59,2023-05-21,6798
66,2023-05-22,21385
67,2023-05-23,22961
68,2023-05-24,19080
69,2023-05-25,17933
70,2023-05-26,17796
71,2023-05-27,11730
72,2023-05-28,6868
73,2023-05-29,13529
74,2023-05-27,11730
75,2023-05-28,6868
76,2023-05-29,13529
77,2023-05-30,24411
78,2023-05-31,24604
79,2023-06-01,19724
